timestamp,src_ip,dst_ip,dst_port,protocol,bytes_sent,bytes_recv,duration_sec,packets,label,bytes_ratio,bytes_per_sec,prediction,anomaly_score
2024-05-26 04:28:31,10.0.2.118,201.250.32.133,21,TCP,15310,45067,42.01,16,normal,0.33970888435253394,1433.7924483495608,normal,0.17905616129721336
2024-05-11 01:38:15,10.0.1.189,193.199.92.89,21,UDP,3692990,68116,55.35,2823,normal,54.21539410132566,67828.7826871055,normal,0.027379268644187382
2024-05-17 21:00:41,10.0.3.254,202.222.194.7,443,ICMP,23007,950555,6.64,18,normal,0.024203729185865955,144445.40059347183,normal,0.15288994462554156
2024-05-09 18:30:38,10.0.1.254,152.183.142.33,25,TCP,467423,56148,3.12,656,normal,8.324689664998486,162599.68944099377,normal,0.13107976166178875
2024-05-27 17:50:29,10.0.3.87,64.39.138.32,3306,UDP,15355,18895,16.82,23,normal,0.8126058425063506,2024.2316784869975,normal,0.18184421750487106
2024-05-23 22:23:52,10.0.1.220,205.160.62.11,3389,TCP,45882,85789,62.77,51,normal,0.5348175778062711,2094.3375218705264,normal,0.1739604891364055
2024-05-23 18:49:49,10.0.3.187,10.0.0.141,3389,TCP,1176425,29605,62.94,1683,normal,39.73603323650612,19131.18654822335,normal,0.10174094078411844
2024-05-03 02:33:36,10.0.1.148,10.0.1.83,8080,TCP,22450,147130,8.22,21,normal,0.1525851112274096,20382.21153846154,normal,0.17932988928
2024-05-01 00:23:59,10.0.1.83,10.0.0.93,6379,TCP,28401,60844,63.69,44,normal,0.4667762346947161,1399.043737262894,normal,0.17627085533404646
2024-05-25 23:52:37,10.0.1.180,193.199.92.89,3306,TCP,265058,1540092,23.15,236,normal,0.17210519105015087,77640.86021505376,normal,0.1284732362245023
2024-05-16 07:14:05,10.0.3.101,10.0.1.114,8443,TCP,16096,173441,16.78,22,normal,0.09280335789485822,11228.495260663505,normal,0.18125666590940287
2024-05-10 01:08:38,10.0.1.97,10.0.1.189,25,TCP,183873,89429,4.79,138,normal,2.0560550150956054,55889.97955010225,normal,0.17143210424431038
2024-05-13 16:22:45,10.0.3.174,10.0.3.87,25,TCP,353069,214807,65.41,564,normal,1.6436492123198392,8668.539154327585,normal,0.15554066231076746
2024-05-23 11:35:13,10.0.3.174,10.0.3.174,6379,TCP,161515,905,52.08,216,normal,178.27262693156732,3112.68685320046,normal,0.12415536540739369
2024-05-16 00:14:04,10.0.1.189,23.129.64.214,53,UDP,81072,16294,30.1,84,normal,4.975268487266033,3224.0397350993376,normal,0.17459613349844355
2024-05-16 05:56:26,10.0.1.54,10.0.3.25,5432,TCP,15896,3116,28.25,24,normal,5.099775425088226,670.6172839506172,normal,0.17949210525431664
2024-05-16 14:21:37,10.0.1.180,10.0.0.93,443,TCP,102,16752,73.32,1,normal,0.006088461768041545,229.55597929719426,normal,0.17222427614655966
2024-05-01 05:15:14,10.0.2.118,180.144.138.156,27017,UDP,165492,16632,13.1,225,normal,9.94961822882222,13797.272727272728,normal,0.17411245965310235
2024-05-19 21:43:01,10.0.1.238,138.63.106.248,8443,TCP,45345,18808,1.23,61,normal,2.4108139720346644,48235.33834586466,normal,0.1727242216026234
2024-05-06 09:10:01,10.0.1.238,183.79.64.37,3306,TCP,13860,5278,1.52,9,normal,2.6254972532676644,11813.58024691358,normal,0.17753741771045473
2024-05-28 08:28:28,10.0.3.254,180.222.152.147,21,ICMP,4185,265342,8.42,4,normal,0.0157720384558854,31634.624413145542,normal,0.17614371250064648
